Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,1.12249e-66,0.151861,5000,0.962891,16.0342,0.962891,0,0.0527344,0.0527344
2,1.10497e-66,0.151882,5000,0.930664,16.0635,0.930664,0,0.046875,0.046875
3,1.09381e-66,0.151895,5000,0.910156,16.0869,0.910156,0,0.0556641,0.0556641
4,1.09275e-66,0.151897,5000,0.908203,16.0869,0.908203,0,0.0527344,0.0527344
5,1.08691e-66,0.151904,5000,0.897461,16.0967,0.897461,0,0.0498047,0.0498047
6,1.08744e-66,0.151903,5000,0.898438,16.0986,0.898438,0,0.046875,0.046875
7,1.08797e-66,0.151902,5000,0.899414,16.0986,0.899414,0,0.0527344,0.0527344
8,1.08106e-66,0.15191,5000,0.886719,16.1064,0.886719,0,0.0507812,0.0507812
9,1.08903e-66,0.151901,5000,0.901367,16.0928,0.901367,0,0.0517578,0.0517578
10,1.09753e-66,0.151891,5000,0.916992,16.082,0.916992,0,0.0341797,0.0341797
11,1.09647e-66,0.151892,5000,0.915039,16.083,0.915039,0,0.0498047,0.0498047
12,1.08691e-66,0.151904,5000,0.897461,16.1064,0.897461,0,0.0654297,0.0654297
13,1.08319e-66,0.151908,5000,0.890625,16.1064,0.890625,0,0.0566406,0.0566406
14,1.09116e-66,0.151898,5000,0.905273,16.0908,0.905273,0,0.0449219,0.0449219
15,1.0816e-66,0.15191,5000,0.887695,16.1074,0.887695,0,0.0556641,0.0556641
16,1.08e-66,0.151912,5000,0.884766,16.1123,0.884766,0,0.0458984,0.0458984
17,1.06779e-66,0.151926,5000,0.862305,16.1357,0.862305,0,0.0664062,0.0664062
18,1.0816e-66,0.15191,5000,0.887695,16.1064,0.887695,0,0.0419922,0.0419922
19,1.07416e-66,0.151919,5000,0.874023,16.1143,0.874023,0,0.0556641,0.0556641
20,1.07841e-66,0.151914,5000,0.881836,16.1064,0.881836,0,0.0498047,0.0498047
21,1.08106e-66,0.15191,5000,0.886719,16.1025,0.886719,0,0.0449219,0.0449219
22,1.07788e-66,0.151914,5000,0.880859,16.1074,0.880859,0,0.0527344,0.0527344
23,1.0731e-66,0.15192,5000,0.87207,16.1182,0.87207,0,0.0585938,0.0585938
24,1.08531e-66,0.151905,5000,0.894531,16.1006,0.894531,0,0.0419922,0.0419922
25,1.09647e-66,0.151892,5000,0.915039,16.083,0.915039,0,0.0429688,0.0429688
26,1.08106e-66,0.15191,5000,0.886719,16.1064,0.886719,0,0.0625,0.0625
27,1.07894e-66,0.151913,5000,0.882812,16.1113,0.882812,0,0.0527344,0.0527344
28,1.07841e-66,0.151914,5000,0.881836,16.1094,0.881836,0,0.0546875,0.0546875
29,1.08956e-66,0.1519,5000,0.902344,16.0918,0.902344,0,0.0419922,0.0419922
30,1.09116e-66,0.151898,5000,0.905273,16.0947,0.905273,0,0.0546875,0.0546875
31,1.08372e-66,0.151907,5000,0.891602,16.1064,0.891602,0,0.0546875,0.0546875
