Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,484673007116234,484673489234927,482118693,-1
0,1,STEP,484673494963935,484673498847663,3883728,-1
1,1,STEP,484673498927519,484673502659782,3732263,-1
2,1,STEP,484673502770970,484673507234043,4463073,-1
3,1,STEP,484673507332871,484673511326200,3993329,-1
4,1,STEP,484673511433320,484673515488763,4055443,-1
5,1,STEP,484673515609404,484673518984652,3375248,-1
6,1,STEP,484673519061744,484673522647994,3586250,-1
7,1,STEP,484673522748590,484673527019337,4270747,-1
8,1,STEP,484673527109932,484673531212792,4102860,-1
9,1,STEP,484673531293584,484673534471678,3178094,-1
10,1,STEP,484673534580080,484673538226852,3646772,-1
11,1,STEP,484673538329936,484673543138159,4808223,-1
12,1,STEP,484673543288153,484673546835521,3547368,-1
13,1,STEP,484673546908899,484673549736531,2827632,-1
14,1,STEP,484673549799227,484673553229771,3430544,-1
15,1,STEP,484673553305239,484673556687564,3382325,-1
16,1,STEP,484673556796152,484673561244366,4448214,-1
17,1,STEP,484673561317166,484673564273566,2956400,-1
18,1,STEP,484673564360261,484673567874306,3514045,-1
19,1,STEP,484673567984477,484673571853611,3869134,-1
20,1,STEP,484673571961266,484673575409237,3447971,-1
21,1,STEP,484673575511768,484673579307978,3796210,-1
22,1,STEP,484673579421992,484673582590814,3168822,-1
23,1,STEP,484673582669570,484673585130487,2460917,-1
24,1,STEP,484673585222099,484673587910051,2687952,-1
25,1,STEP,484673588026471,484673592174201,4147730,-1
26,1,STEP,484673592240858,484673594853704,2612846,-1
27,1,STEP,484673594941848,484673597943823,3001975,-1
28,1,STEP,484673598004365,484673600092242,2087877,-1
29,1,STEP,484673600151546,484673602611712,2460166,-1
30,1,STEP,484673602674455,484673605243468,2569013,-1
31,1,STEP,484673605306654,484673608794379,3487725,-1
32,1,STEP,484673608901447,484673611647152,2745705,-1
33,1,STEP,484673611753891,484673615091520,3337629,-1
34,1,STEP,484673615202574,484673618163788,2961214,-1
35,1,STEP,484673618280645,484673620785580,2504935,-1
36,1,STEP,484673620874029,484673624048950,3174921,-1
37,1,STEP,484673624135431,484673626448378,2312947,-1
38,1,STEP,484673626526161,484673628640577,2114416,-1
39,1,STEP,484673628748414,484673631768173,3019759,-1
40,1,STEP,484673631886143,484673635163378,3277235,-1
41,1,STEP,484673635273605,484673637923256,2649651,-1
42,1,STEP,484673638028157,484673641071741,3043584,-1
43,1,STEP,484673641179608,484673643489810,2310202,-1
44,1,STEP,484673643577724,484673645587207,2009483,-1
45,1,STEP,484673645681055,484673648186480,2505425,-1
46,1,STEP,484673648297491,484673651743139,3445648,-1
47,1,STEP,484673651885017,484673654788796,2903779,-1
48,1,STEP,484673654889411,484673657963751,3074340,-1
49,1,STEP,484673658071926,484673661246785,3174859,-1
50,1,STEP,484673661351108,484673664384685,3033577,-1
51,1,STEP,484673664489307,484673667897501,3408194,-1
52,1,STEP,484673668010046,484673670512551,2502505,-1
53,1,STEP,484673670590220,484673673199125,2608905,-1
54,1,STEP,484673673298784,484673675979760,2680976,-1
55,1,STEP,484673676091474,484673679044716,2953242,-1
56,1,STEP,484673679187384,484673682481307,3293923,-1
57,1,STEP,484673682591314,484673685607539,3016225,-1
58,1,STEP,484673685714294,484673689293609,3579315,-1
59,1,STEP,484673689399605,484673691990013,2590408,-1
60,1,STEP,484673692055819,484673694499580,2443761,-1
61,1,STEP,484673694628170,484673696665664,2037494,-1
62,1,STEP,484673696730195,484673699246160,2515965,-1
63,1,STEP,484673699311646,484673702181770,2870124,-1
64,1,STEP,484673702294020,484673705643564,3349544,-1
65,1,STEP,484673705752331,484673708438561,2686230,-1
66,1,STEP,484673708549393,484673711140910,2591517,-1
67,1,STEP,484673711244638,484673714160814,2916176,-1
68,1,STEP,484673714263546,484673717254763,2991217,-1
69,1,STEP,484673717347810,484673720540401,3192591,-1
70,1,STEP,484673720655738,484673723422977,2767239,-1
71,1,STEP,484673723541309,484673726414957,2873648,-1
72,1,STEP,484673726543024,484673729660362,3117338,-1
73,1,STEP,484673729756369,484673732282035,2525666,-1
74,1,STEP,484673732421601,484673734769626,2348025,-1
