Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,STEP,353569090792863,353569092839966,2047103,-1
1,1,STEP,353569092863473,353569093698903,835430,-1
2,1,STEP,353569093721889,353569094660012,938123,-1
3,1,STEP,353569094680203,353569095451875,771672,-1
4,1,STEP,353569095471838,353569096083406,611568,-1
5,1,STEP,353569096252169,353569096838095,585926,-1
6,1,STEP,353569097035757,353569097735270,699513,-1
7,1,STEP,353569097843806,353569098452819,609013,-1
8,1,STEP,353569098683574,353569099261007,577433,-1
9,1,STEP,353569099529077,353569100113966,584889,-1
10,1,STEP,353569100382616,353569101064317,681701,-1
11,1,STEP,353569101086437,353569101931391,844954,-1
12,1,STEP,353569101949842,353569102754111,804269,-1
13,1,STEP,353569102773898,353569103817614,1043716,-1
14,1,STEP,353569103835850,353569104753696,917846,-1
15,1,STEP,353569104775056,353569105667387,892331,-1
16,1,STEP,353569105686377,353569106578681,892304,-1
17,1,STEP,353569106598457,353569107478419,879962,-1
18,1,STEP,353569107496775,353569108393020,896245,-1
19,1,STEP,353569108414299,353569109268375,854076,-1
20,1,STEP,353569109290634,353569110156762,866128,-1
21,1,STEP,353569110174831,353569111091294,916463,-1
22,1,STEP,353569111109895,353569112039980,930085,-1
23,1,STEP,353569112062064,353569113072299,1010235,-1
24,1,STEP,353569113093557,353569114048251,954694,-1
25,1,STEP,353569114067521,353569115041440,973919,-1
26,1,STEP,353569115060829,353569116077842,1017013,-1
27,1,STEP,353569116097081,353569117089399,992318,-1
28,1,STEP,353569117111683,353569118116882,1005199,-1
29,1,STEP,353569118136474,353569119209331,1072857,-1
30,1,STEP,353569119228844,353569120261968,1033124,-1
31,1,STEP,353569120283550,353569121349412,1065862,-1
32,1,STEP,353569121373463,353569122006893,633430,-1
33,1,STEP,353569122027189,353569123043012,1015823,-1
34,1,STEP,353569123062720,353569124052007,989287,-1
35,1,STEP,353569124071773,353569125105545,1033772,-1
36,1,STEP,353569125127781,353569125830511,702730,-1
37,1,STEP,353569125852526,353569126908188,1055662,-1
38,1,STEP,353569126929648,353569127610132,680484,-1
39,1,STEP,353569127632429,353569128605123,972694,-1
